Subject,bpm,sdnn,rmssd,pnn50,hr_mad,lf,hf,lf/hf,p_total,lf_nu,hf_nu,mean_eda,mean_tonic,scr_peak_count,scr_sum_amp,scr_mean_amp,scr_mean_risetime,scr_mean_recoverytime
1,-0.3059233417414245,-0.5430024736023996,-0.4267432189047981,-0.9986134313333875,-0.6100275625152481,-0.5046436652031051,15.084204992449596,-0.9998718906704509,15.579561327246491,-0.9875718260740359,-0.5964575739422289,-1.0000365709205037,-1.0000367116647866,-0.9584029400016265,-0.9996030623887653,-0.9999603062388766,-0.9981281323000732,-0.996137415857294
1,-0.28200058036103753,-0.5758781601572032,-0.4873493769974078,-0.9989600735000407,-0.6750229687627067,1.4482592198489839,7.000535066771494,-0.9987270803163828,9.448794286620478,-0.902533839918703,-0.6814955600975617,-1.0000531810813238,-1.0000539712982384,-0.9584029400016265,-0.9997341602682288,-0.9999734160268229,-0.9977121617000894,-0.996880220500122
1,-0.25471497042006164,-0.5573599540275657,-0.46408813772174623,-0.998917336794563,-0.7075206718864361,0.4895398320431645,4.072107979364546,-0.998778407754418,5.561647811407711,-0.9055717716885906,-0.6784576283276742,-1.0000125730250196,-1.0000122912865141,-0.9542432340017891,-0.9995782959204503,-0.9999616632654955,-0.9966911429546749,-0.9963024835557002
1,-0.2783160674980978,-0.5215780804890533,-0.39222977389210584,-0.9988014406441146,-0.6425252656389775,3.7454476750557344,17.026402738451797,-0.9989049580522387,21.77185041350753,-0.9133154890472378,-0.6707139109690268,-0.9999207786614533,-0.9999223100227833,-0.9459238220021144,-0.9991788671664529,-0.999936835935881,-0.9960802770386149,-0.996984213150118
2,-0.7415517258206584,-0.8977026850712162,-0.8949663016596693,-0.9998897414311333,-0.9534846662593452,-0.1736685558755581,-0.6458416378446165,-0.993054030149465,0.5146571129989509,-0.7916141848273611,-0.9106876792324484,-0.998856664934353,-0.9988543083791928,-0.9702301864059809,-0.9990461205160207,-0.9998940133906691,-0.9970230186405981,-0.9955345279608971
3,-0.6086045932617378,-0.7670406303707195,-0.6706486040772152,-0.9998434305122061,-0.9347627134192169,0.07365540604459299,2.5380913994535317,-0.9987330142496791,6.130973393031443,-0.9027979727530454,-0.6796833931299426,-0.9999826708462424,-0.9999818681498229,-0.9665985092706391,-0.9990309013788623,-0.9998788626723578,-0.995172440793022,-0.9940354480840428
4,-0.5957070831766988,-0.7252231293280575,-0.6894218669117127,-0.9991665372396438,-0.8531969001645302,1.380320449532486,3.2993636239967277,-0.9973991431204916,5.679684073529215,-0.8325964321682049,-0.6976336483582917,-0.9992060564744909,-0.999175227715457,-0.9389299104684445,-0.9754128078545954,-0.9981086775272766,-0.9944892374830993,-0.9954980382717122
4,-0.6087329074712108,-0.7345477151156383,-0.672485188517952,-0.9994305819157897,-0.8531969001645302,1.1298892350475838,0.07468284036275624,-0.9906897378756132,2.2045720754103395,-0.6877717614425427,-0.8424583190839537,-1.0000674490979424,-1.0001615468419933,-0.9483253088579147,-0.9834297978076648,-0.9983429797807666,-0.9926011237682923,-0.993100254307733
6,-0.9331735859493939,-0.9118161837225163,-0.8998370768904947,-0.9998027692640868,-0.927682063498476,0.35235740338803556,3.295605224477418,-0.9998178609221009,4.6479626278654536,-0.986147260062513,-0.9559983907362678,-1.0000052285604915,-1.0000051821161342,-0.994214565079878,-0.9992530135363888,-0.999925301353639,-0.9992045026984833,-0.9994214565079879
6,-0.9268220664157553,-0.91418073004896,-0.9088917105970352,-0.9998173020551541,-0.9367218055611666,0.337717236445075,4.0592580567530865,-0.9998470274509392,5.396975293198162,-0.9879016634295783,-0.9542439873692026,-0.9999943203278654,-0.9999924697130522,-0.9936360215878659,-0.9996089996614848,-0.9999644545146804,-0.9993425642136224,-0.9995500217284349
