Subject,bpm,sdnn,rmssd,pnn50,hr_mad,lf,hf,lf/hf,p_total,lf_nu,hf_nu,mean_eda,mean_tonic,scr_peak_count,scr_sum_amp,scr_mean_amp,scr_mean_risetime,scr_mean_recoverytime
1,-0.3497348454532067,-0.631829530110261,-0.5045029636217475,-0.9989525801977434,-0.7444026125926911,2.231284686787377,10.644417091492839,-0.9989912551279572,13.875701778280215,-0.9210373654698928,-0.7154463502174901,-0.999949561237933,-0.999949566356984,-0.9491077201962336,-0.9991715894736448,-0.999940827819546,-0.99753328235645,-0.9964557162279519
1,-0.39116067211082683,-0.48079505892305857,-0.41644143923855503,-0.9988555968827194,-0.602404064033075,13.638288960764417,14.142513956841329,-0.9964858831057525,28.780802917605744,-0.8213192429219001,-0.8151644727654829,-0.9999772868089558,-0.999979172717969,-0.9200264174512243,-0.999179005131686,-0.9999609050062708,-0.9980525913340396,-0.9968192325122646
1,-0.43395697481111384,-0.46703618507772887,-0.4855453496521383,-0.9990085919518747,-0.6308037737449982,6.795790432711783,21.647330981599538,-0.9987486839956188,29.44312141431132,-0.9069117541262697,-0.7295719615611133,-0.9999934092594658,-0.9999955872078656,-0.9418373945099813,-0.9994681539247271,-0.9999667596202955,-0.9981256191590131,-0.9971827487965773
1,-0.26772326202730506,-0.677617164180941,-0.5861226278762135,-0.999076784039841,-0.8864011611523072,-0.7272378946244492,8.898953527914236,-0.9998998343948502,9.171715633289788,-0.9902520409907155,-0.6462316746966673,-0.9999903040862864,-0.9999888934128637,-0.9236615802943504,-0.999221773924959,-0.9999629416154742,-0.9983555215709667,-0.9986368139338276
1,-0.29062662038013315,-0.6742252764798435,-0.6117472457841076,-0.9989345212356354,-0.7728023223046143,-0.33357574526826644,5.0477213168340995,-0.9995994258727142,5.714145571565833,-0.9639185557903553,-0.6725651598970275,-0.9999820407522195,-0.9999828983164365,-0.9600132087256121,-0.9990673517112099,-0.999915213791928,-0.9981824185784369,-0.9974034551120528
1,-0.4771445220757897,-0.4565041600788099,-0.4395617004837292,-0.9987882790522914,-0.602404064033075,4.678978496038914,13.030254957652012,-0.9985286075215295,18.709233453690924,-0.8952571561739392,-0.7412265595134436,-0.9999796637805877,-0.9999810355172027,-0.9854593486274953,-0.9989104251876043,-0.9999508664129084,-0.9980891052465263,-0.9970009906544209
2,-0.6535202401692342,-0.5405746691465371,-0.47879786524757184,-0.9990097853602157,-0.8269937490149345,2.599573046673889,13.683889047135539,-0.9990952462093888,17.28346209380943,-0.9273370425790075,-0.7035829553195193,-1.000032532316033,-1.0000322850473657,-0.9003483994326023,-0.9990847028405443,-0.9999647962630978,-0.9981191115277522,-0.9977203882223145
2,-0.6678279981086742,-0.543979403893303,-0.3925660753530809,-0.9991258631529175,-0.8846624993432897,-0.5608073033371639,17.237160794488673,-0.9999111170629935,17.67635349115151,-0.9913207232084106,-0.6395992746901162,-1.0000313363280553,-1.000030898687596,-0.9778551998739116,-0.9990402505278716,-0.9998400417546451,-0.9944637999684779,-0.9976079583897415
2,-0.6590766166155464,-0.4910033101667696,-0.29794156586456505,-0.9993486823492327,-0.9423312496716448,2.3485402531654196,13.968734549649842,-0.9992600072594795,19.824039980491587,-0.9387851486526909,-0.692134849245836,-0.9999868773512572,-0.9999824229875005,-0.9778551998739116,-0.9989903789916825,-0.9999417414547527,-0.9976405242722798,-0.9976079583897415
2,-0.6418458318957545,-0.5200190402501849,-0.3710637087493593,-0.9991315764656435,-0.8269937490149345,0.6708881160347168,10.329992282556125,-0.9994557000799313,12.00088039859084,-0.9525654132281485,-0.6783545846703783,-1.0000096997124848,-1.0000131764216451,-0.9224931995586907,-0.9989303517948035,-0.9999465175897401,-0.9977855199873911,-0.9974955285571685
2,-0.6105845704508535,-0.4206568232343818,-0.3377757388578615,-0.9991022378327262,-0.7693249986865793,2.0975074596569505,18.874219010174716,-0.9994247683095702,21.97172646983167,-0.9502332547263744,-0.6806867431721524,-1.0000409498068268,-1.0000424683228188,-0.8671311992434697,-0.9989405074554936,-0.9999697287844426,-0.9984182285624222,-0.9980227857030278
2,-0.616156797814468,-0.35990489834409806,-0.27408953780608597,-0.99922298946926,-0.7693249986865793,12.362402909598158,14.802628859669882,-0.9992600072594795,28.16503176926804,-0.8309003832750156,-0.8000196146235112,-1.0000319343220443,-1.000031591867481,-0.9483287997057938,-0.9991175144767096,-0.999936965319765,-0.9974955285571685,-0.9978777899879165
3,-0.5812583532916278,-0.5323984858197318,-0.5788121434613113,-0.9995731951439988,-0.817083633142339,9.818562558883407,18.5862585023636,-0.9978445926244688,29.404821061247006,-0.8611523943850335,-0.7486260229852896,-1.0002235200476832,-1.0002035412777652,-0.9804889208685161,-0.9949132815907248,-0.998982656318145,-0.9943417870518697,-0.9931711223039806
3,-0.5372295005256457,-0.5291483371236003,-0.5016062247569114,-0.9993629035385637,-0.7561115108564519,1.897217589200354,21.860217876357176,-0.9995054479187403,24.75743546555753,-0.9561075544810327,-0.6536708628892904,-0.9997798273001487,-0.9997786304143648,-0.9570756259107356,-0.998439802234318,-0.9998581638394836,-0.9958317240037284,-0.9948295640301569
3,-0.5637808988458444,-0.546092361610029,-0.587270392472871,-0.9996515878726521,-0.817083633142339,5.501959059253655,16.593921388138007,-0.9985579083262212,23.095880447391664,-0.8947037955373831,-0.71507462183294,-1.000031674074592,-1.0000320355868009,-0.9726844892159227,-0.9987227335085023,-0.9999248666769708,-0.9970733381302774,-0.9957075625910736
3,-0.572299949894924,-0.5246883854477493,-0.47253198597103024,-0.9995819054471826,-0.817083633142339,0.9155960936010618,13.236016387718726,-0.9994749184610598,15.15161248131979,-0.9537193614452573,-0.656059055925066,-1.0003376076460522,-1.0003365066002028,-0.9726844892159227,-0.9982656468455858,-0.999752235263655,-0.9940073114096157,-0.9915451990430237
