Subject,bpm,rmssd,pnn50,hr_mad,lf/hf,scr_peak_count
2,1.5147065433022207,1.1051686634391382,2.1987254962097573,-3.3166247903554,-0.9513820513229372,-1.5339299776947408
2,1.9719276673559745,1.0325815809263053,0.28207066272508663,-3.3166247903554,-0.5942362616294748,-1.6106264765794778
2,1.952818324724098,1.7765095490465144,0.7187518155087071,-0.9045340337332909,-0.8805903601757553,-1.5339299776947408
2,1.4910987575443975,1.317930061885673,0.9936335959289581,-0.9045340337332909,-1.5414751896446488,-1.8023677237913205
6,-2.2880706305734995,-4.015284111927094,-2.2100156694964572,-1.6049834053499628,-0.9226177973099157,-0.4814964639712618
6,-2.369218019882638,-3.0969431592617025,-2.7312867562884224,-1.6049834053499628,-1.192697338945571,-0.3304387497841993
6,-2.3427454858404353,-4.401557128117144,-3.2519231786078326,-2.080534043972174,-1.1209813125093682,-0.21714546414390237
6,-2.000057666444777,-2.8341367788327774,-1.3483585882886968,-1.6049834053499628,-0.9101282190024336,-0.5192608925180274
8,0.11380472146739237,-0.8720194217849193,-0.6182440519856575,-0.8551861104941366,-0.8962970676863605,-0.39056673294247163
8,0.6214277174761832,-0.7140085040964033,0.03515500148087838,-0.8551861104941366,0.5127411433253924,0.6509445549041194
8,0.5594491348268575,-0.8812651238922639,-0.5996597496308047,-0.8551861104941366,-0.1658905670182936,-0.39056673294247163
8,0.260652433756912,-0.9077695446092038,-0.9699463763698175,-0.8551861104941366,1.1203746679377067,0.6509445549041194
9,2.282307764167049,-0.9069506545327977,-0.6827456263735967,0.5773502691896258,-0.2918046049242612,1.8905706613989794
9,2.996538662375982,-1.1984935443513849,-0.6262554018670661,2.886751345948129,3.60660761443955,2.8856078516089685
9,3.7842249096227656,2.3857439833546064,1.506011207896394,0.5773502691896258,-0.7708640325358039,3.68163760377696
9,2.821205293011703,3.8545737454529445,1.4396391835238547,0.5773502691896258,-0.2091976776641794,2.6866004135669708
